Nome do Evento;Link de Inscrição;Link da Imagem;Data;Cidade;Distância;Organizador
CATS RUN - BRASÍLIA 2025;https://brasilcorrida.com.br/#/evento/cats-run---brasilia-2025;;13 de Julho de 2025;BRASÍLIA;00 Km, 3Km, 3,00 Km, 5Km, 5,00 Km, 5km, 5KM;ATP MKT Esportivo
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Fcats-run---brasilia-2025;;;;;
SESC+CORRIDAS – Etapa Ceilândia;https://brasilcorrida.com.br/#/evento/sesc-corridas-----etapa-ceilandia;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-3e19e5e5a4e3cfd7973bf32bc799b17a3271a670.png;20 de Julho de 2025;BRASÍLIA;00 Km, 3km, 3 KM, 3,00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;Sesc-DF
;https://brasilcorrida.com.br/#/evento/sesc-corridas-----etapa-ceilandia;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-3e19e5e5a4e3cfd7973bf32bc799b17a3271a670.png;;;00 Km, 3km, 3 KM, 3,00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;
SESC+CORRIDAS – Etapa Ceilândia;https://brasilcorrida.com.br/#/evento/sesc-corridas-----etapa-ceilandia;;20 de Julho de 2025;BRASÍLIA;00 Km, 3km, 3 KM, 3,00 Km, 5Km, 5 KM, 5,00 Km, 5km, 5KM, 10,00 Km, 10KM, 10 KM, 10Km, 10km;Sesc-DF
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Fsesc-corridas-----etapa-ceilandia;;;;;
FAST RUN 5K BSB;https://brasilcorrida.com.br/#/evento/fast-run-5k-bsb;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-3546c085b7cf2f348cc182d75af9fb3b8c300e33.jpeg;10 de Agosto de 2025;BRASÍLIA;;Bruno Atleta Eventos
;https://brasilcorrida.com.br/#/evento/fast-run-5k-bsb;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-3546c085b7cf2f348cc182d75af9fb3b8c300e33.jpeg;;;;
FAST RUN 5K BSB;https://brasilcorrida.com.br/#/evento/fast-run-5k-bsb;;10 de Agosto de 2025;BRASÍLIA;;Bruno Atleta Eventos
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Ffast-run-5k-bsb;;;;;
Quatro Poderes Run 2025;https://brasilcorrida.com.br/#/evento/quatro-poderes-run-2025;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-c012df3b13c50aa624a2470c0d7e98acf1803188.jpg;23 de Agosto de 2025;BRASÍLIA;;ONE RUN BRASIL
;https://brasilcorrida.com.br/#/evento/quatro-poderes-run-2025;https://brasilcorrida.com.br/api/Public/Uploads/eventos/rszd-c012df3b13c50aa624a2470c0d7e98acf1803188.jpg;;;;
Quatro Poderes Run 2025;https://brasilcorrida.com.br/#/evento/quatro-poderes-run-2025;;23 de Agosto de 2025;BRASÍLIA;;ONE RUN BRASIL
;https://api.whatsapp.com/send?text=https%3A%2F%2Fbrasilcorrida.com.br%2F%23%2Fevento%2Fquatro-poderes-run-2025;;;;;
